payload_type,variant,seed,image,chi_square_p,rs_rate,ws_rate,payload_bias,payload_autocorr,payload_entropy
ascii_text,no_decomp,0,10,0.0,0.4960967360377923,0.3231543210798649,,,
ascii_text,full,0,10,0.0,0.45096226974902076,0.2902578667446482,,,
ascii_text,no_decomp,0,11,7.111105109006794e-179,0.10088292888374652,0.12398054756331904,,,
ascii_text,full,0,11,0.0,0.0822991890133548,0.09679982881255406,,,
ascii_text,no_decomp,0,12,0.0,0.07828148364896663,0.07235296434844252,,,
ascii_text,full,0,12,0.0,0.07516470573827552,0.08362797634181587,,,
ascii_text,no_decomp,0,13,1.3469964273654206e-11,0.09050450661356603,0.08797855607848448,,,
ascii_text,full,0,13,1.324118704635154e-12,0.059017114875212474,0.06572064472221775,,,
ascii_text,no_decomp,0,14,2.3487177690415457e-24,0.07537791031854281,0.0984038227571076,,,
ascii_text,full,0,14,6.73164132197564e-22,0.0872817899886159,0.11213473899764956,,,
ascii_text,no_decomp,0,15,1.7446190482146638e-11,0.0834176504785792,0.08868376229047772,,,
ascii_text,full,0,15,1.2042005363517989e-13,0.07228801283353459,0.0792305644402282,,,
ascii_text,no_decomp,0,16,3.933743141119746e-08,0.07576120028750531,0.0683204631893858,,,
ascii_text,full,0,16,1.1020999556403937e-07,0.10301290473565795,0.09663374203834163,,,
ascii_text,no_decomp,0,17,0.11410195532951593,0.11041358880153561,0.08012286561412565,,,
ascii_text,full,0,17,0.16396138668505333,0.10588808525569328,0.09167921415149059,,,
ascii_text,no_decomp,0,18,0.528240253704314,0.12035450923969127,0.10257586799545951,,,
ascii_text,full,0,18,0.22030282889713726,0.09574212695801607,0.1120162113350336,,,
ascii_text,no_decomp,0,19,0.0,0.09787090974981567,0.07763975495605546,,,
ascii_text,full,0,19,0.0,0.08702478643554651,0.07947755445956349,,,
ascii_text,no_decomp,0,20,0.0,0.47993092390537745,0.26854271721832856,,,
ascii_text,full,0,20,0.0,0.4894895089930976,0.2644006854709315,,,
ascii_text,no_decomp,0,21,6.198695374118744e-23,0.09216508328125603,0.07728465157977399,,,
ascii_text,full,0,21,3.2263623194414863e-29,0.1073049516533311,0.08827506842537558,,,
ascii_text,no_decomp,0,22,0.0,0.12032657760467151,0.07980480130562402,,,
ascii_text,full,0,22,6.751259021567516e-272,0.13461694146120284,0.10406699351802332,,,
ascii_text,no_decomp,0,23,2.1105643934706323e-18,0.09764567213324635,0.09517160576933237,,,
ascii_text,full,0,23,1.901678536182207e-15,0.09694918456100586,0.09460639078082994,,,
ascii_text,no_decomp,0,24,1.5739548617465898e-39,0.0829461644545468,0.10255001156451977,,,
ascii_text,full,0,24,4.892592494383891e-38,0.07333995463476077,0.08080748159368997,,,
ascii_text,no_decomp,0,25,2.9312051512668377e-43,0.06798094085003986,0.06419192780835477,,,
ascii_text,full,0,25,2.1673362268542643e-47,0.07034694539493262,0.0783658839555261,,,
ascii_text,no_decomp,0,26,0.94675159787372,0.054749360589435477,0.052753260380104285,,,
ascii_text,full,0,26,0.9494239160366337,0.09028486258627118,0.10146067292886336,,,
ascii_text,no_decomp,0,27,0.0,0.06587894301749564,0.08408461242081466,,,
ascii_text,full,0,27,0.0,0.07500105155094418,0.09576643203379762,,,
ascii_text,no_decomp,0,28,0.1546803945187252,0.05042743645002775,0.05622407596684192,,,
ascii_text,full,0,28,0.001278398746792168,0.08280808496070655,0.10586096808990966,,,
